experiment_name,solver,U0,Gamma,points,dx,dt,tend,tsteps,Courant,Fourier_number,final_L2,final_Linf,final_periodic_error,final_amplitude,final_analytic_amplitude,amplitude_ratio_numeric_over_analytic,max_abs_phi_final,unstable_detected
IE-2 Courant 0.10,Implicit Euler + CDS,1,NaN,81,0.0785398163397448,0.00785398163397448,2.00276531666349,255,0.1,NaN,0.0080695414924819,0.0080917266661612,3.33066907387547e-16,0.991496934546748,1,0.991496934546748,0.99149693454675,0
IE-2 Courant 0.50,Implicit Euler + CDS,1,NaN,81,0.0785398163397448,0.0392699081698724,2.00276531666349,51,0.5,NaN,0.0385437130751697,0.038545694424679,0,0.960916166215595,1,0.960916166215595,0.960916166215596,0
IE-2 Courant 1.00,Implicit Euler + CDS,1,NaN,81,0.0785398163397448,0.0785398163397448,1.96349540849362,25,1,NaN,0.0740191378007741,0.0740706203488777,6.66133814775094e-16,0.926139721460068,1,0.926139721460068,0.926139721460068,0
IE-2 Courant 2.00,Implicit Euler + CDS,1,NaN,81,0.0785398163397448,0.15707963267949,2.04203522483337,13,2,NaN,0.147083811495424,0.147188707432734,3.33066907387547e-16,0.853605783390316,1,0.853605783390316,0.853605783390317,0
