experiment_name,solver,U0,Gamma,points,dx,dt,tend,tsteps,Courant,Fourier_number,final_L2,final_Linf,final_periodic_error,final_amplitude,final_analytic_amplitude,amplitude_ratio_numeric_over_analytic,max_abs_phi_final,actual_final_time,unstable_time,observed_order,unstable_detected
EE-U0 U0 0.5,Explicit Euler + CDS,0.5,NaN,81,0.0785398163397448,0.01,1,100,0.0636619772367581,NaN,0.00134787251825921,0.00135103581671137,2.22044604925031e-16,1.00084888805501,1,1.00084888805501,1.00084888805501,1,NaN,NaN,0
EE-U0 U0 1.0,Explicit Euler + CDS,1,NaN,81,0.0785398163397448,0.01,1,100,0.127323954473516,NaN,0.00510098694443616,0.0051137338405508,2.22044604925031e-16,1.0047570051847,1,1.0047570051847,1.0047570051847,1,NaN,NaN,0
EE-U0 U0 2.0,Explicit Euler + CDS,2,NaN,81,0.0785398163397448,0.01,1,100,0.254647908947033,NaN,0.0203108454907705,0.0202912309770718,2.22044604925031e-16,1.01955939259397,1,1.01955939259397,1.01955939259397,1,NaN,NaN,0
