experiment_name,solver,U0,Gamma,points,dx,dt,tend,tsteps,Courant,Fourier_number,final_L2,final_Linf,final_periodic_error,final_amplitude,final_analytic_amplitude,amplitude_ratio_numeric_over_analytic,max_abs_phi_final,unstable_detected
EE-3 points 41,Explicit Euler + CDS,1,NaN,41,0.15707963267949,0.00785398163397448,0.997455667514759,127,0.05,NaN,0.00557856259539092,0.00566992642479236,2.22044604925031e-16,1.00259416070376,1,1.00259416070376,1.00259416070376,0
EE-3 points 81,Explicit Euler + CDS,1,NaN,81,0.0785398163397448,0.00392699081698724,1.00138265833175,255,0.05,NaN,0.00220750880416522,0.00221897013157335,2.22044604925031e-16,1.00175006054585,1,1.00175006054585,1.00175006054585,0
EE-3 points 161,Explicit Euler + CDS,1,NaN,161,0.0392699081698724,0.00196349540849362,0.999419162923253,509,0.05,NaN,0.00101299456302162,0.00101456429717517,2.22044604925031e-16,1.00082939549554,1,1.00082939549554,1.00082939549554,0
