experiment_name,solver,U0,Gamma,points,dx,dt,tend,tsteps,Courant,Fourier_number,final_L2,final_Linf,final_periodic_error,final_amplitude,final_analytic_amplitude,amplitude_ratio_numeric_over_analytic,max_abs_phi_final,unstable_detected
CN-4 Gamma 0.00,Crank-Nicolson + CDS,1,0,161,0.0392699081698724,0.005,1,200,0.127323954473516,0,0.000258414234747174,0.000259040305032349,8.10462807976364e-15,0.999838126512084,1,0.999838126512084,0.999838126512084,0
CN-4 Gamma 0.05,Crank-Nicolson + CDS,1,0.05,161,0.0392699081698724,0.005,1,200,0.127323954473516,0.16211389382774,0.000258449298683135,0.000246513619444052,0,0.951081853044685,0.951229424500714,0.999844862393627,0.951081853044685,0
CN-4 Gamma 0.10,Crank-Nicolson + CDS,1,0.1,161,0.0392699081698724,0.005,1,200,0.127323954473516,0.324227787655481,0.000258628724343806,0.000234681374959037,2.22044604925031e-16,0.904703136722004,0.90483741803596,0.999851596196976,0.904703136722005,0
CN-4 Gamma 0.50,Crank-Nicolson + CDS,1,0.5,161,0.0392699081698724,0.005,1,200,0.127323954473516,1.6211389382774,0.00026512193114986,0.000161416989612639,0,0.606473163274268,0.606530659712633,0.999905204399077,0.606473163274268,0
