experiment_name,solver,U0,Gamma,points,dx,dt,tend,tsteps,Courant,Fourier_number,final_L2,final_Linf,final_periodic_error,final_amplitude,final_analytic_amplitude,amplitude_ratio_numeric_over_analytic,max_abs_phi_final,actual_final_time,unstable_time,observed_order,unstable_detected
IE-U0 U0 0.5,Implicit Euler + CDS,0.5,NaN,81,0.0785398163397448,0.01,1,100,0.0636619772367581,NaN,0.00135617982210441,0.00134928102162502,1.33226762955019e-15,0.998355049683806,1,0.998355049683806,0.998355049683807,1,NaN,NaN,0
IE-U0 U0 1.0,Implicit Euler + CDS,1,NaN,81,0.0785398163397448,0.01,1,100,0.127323954473516,NaN,0.00509873906618831,0.00508590634648332,4.44089209850063e-16,0.994780438574077,1,0.994780438574077,0.994780438574077,1,NaN,NaN,0
IE-U0 U0 2.0,Implicit Euler + CDS,2,NaN,81,0.0785398163397448,0.01,1,100,0.254647908947033,NaN,0.01986732251639,0.0198900220478411,0,0.979670204531347,1,0.979670204531347,0.979670204531348,1,NaN,NaN,0
