experiment_name,solver,U0,Gamma,points,dx,dt,tend,tsteps,Courant,Fourier_number,final_L2,final_Linf,final_periodic_error,final_amplitude,final_analytic_amplitude,amplitude_ratio_numeric_over_analytic,max_abs_phi_final,unstable_detected
CN-5 dt 0.001,Crank-Nicolson + CDS,1,0.1,161,0.0392699081698724,0.001,1,1000,0.0254647908947033,0.0648455575310962,0.000256670498619143,0.000232897834644641,0,0.904702564500239,0.90483741803596,0.999850963794122,0.904702564500239,0
CN-5 dt 0.005,Crank-Nicolson + CDS,1,0.1,161,0.0392699081698724,0.005,1,200,0.127323954473516,0.324227787655481,0.000258628724343806,0.000234681374959037,2.22044604925031e-16,0.904703136722004,0.90483741803596,0.999851596196976,0.904703136722005,0
CN-5 dt 0.020,Crank-Nicolson + CDS,1,0.1,161,0.0392699081698724,0.02,1,50,0.509295817894065,1.29691115062192,0.000289335828089998,0.000262547870680502,2.22044604925031e-16,0.904712076435519,0.90483741803596,0.999861476108369,0.90471207643552,0
CN-5 dt 0.050,Crank-Nicolson + CDS,1,0.1,161,0.0392699081698724,0.05,1,20,1.27323954473516,3.24227787655481,0.000463386508692912,0.000420670444730931,1.11022302462516e-16,0.904762095431562,0.90483741803596,0.999916755648146,0.904762095431563,0
