experiment_name,solver,U0,Gamma,points,dx,dt,tend,tsteps,Courant,Fourier_number,final_L2,final_Linf,final_periodic_error,final_amplitude,final_analytic_amplitude,amplitude_ratio_numeric_over_analytic,max_abs_phi_final,unstable_detected
IE-3 points 41,Implicit Euler + CDS,1,NaN,41,0.15707963267949,0.0314159265358979,1.00530964914873,32,0.2,NaN,0.016229001764703,0.0161446878828545,6.66133814775094e-16,0.982790682499517,1,0.982790682499517,0.982790682499517,0
IE-3 points 81,Implicit Euler + CDS,1,NaN,81,0.0785398163397448,0.015707963267949,1.00530964914873,64,0.2,NaN,0.00793719044635625,0.00792159699255734,2.33146835171283e-15,0.992012058939718,1,0.992012058939718,0.992012058939718,0
IE-3 points 161,Implicit Euler + CDS,1,NaN,161,0.0392699081698724,0.00785398163397448,0.997455667514759,127,0.2,NaN,0.00391847284579338,0.00391685549647736,2.55351295663786e-15,0.995974195380626,1,0.995974195380626,0.995974195380627,0
