experiment_name,solver,U0,Gamma,points,dx,dt,tend,tsteps,Courant,Fourier_number,final_L2,final_Linf,final_periodic_error,final_amplitude,final_analytic_amplitude,amplitude_ratio_numeric_over_analytic,max_abs_phi_final,actual_final_time,unstable_time,observed_order,unstable_detected
CN-6 points 41,Crank-Nicolson + CDS,1,0.1,41,0.15707963267949,0.001,1,1000,0.00636619772367581,0.00405284734569351,0.00406709262299406,0.00371654773043928,0,0.903732580751695,0.90483741803596,0.998778965964225,0.903732580751696,1,NaN,NaN,0
CN-6 points 81,Crank-Nicolson + CDS,1,0.1,81,0.0785398163397448,0.001,1,1000,0.0127323954473516,0.016211389382774,0.00102332731319744,0.000930844725442703,2.22044604925031e-16,0.904664065659539,0.90483741803596,0.999808415995001,0.904664065659541,1,NaN,1.9907301791023,0
CN-6 points 161,Crank-Nicolson + CDS,1,0.1,161,0.0392699081698724,0.001,1,1000,0.0254647908947033,0.0648455575310962,0.000256670498619143,0.000232897834644641,0,0.904702564500239,0.90483741803596,0.999850963794122,0.904702564500239,1,NaN,1.99527827864276,0
CN-6 points 321,Crank-Nicolson + CDS,1,0.1,321,0.0196349540849362,0.001,1,1000,0.0509295817894065,0.259382230124385,6.43239357078088e-05,5.82836259970521e-05,0,0.904839400300126,0.90483741803596,1.00000219074071,0.904839400300126,1,NaN,1.99648989720976,0
