experiment_name,solver,U0,Gamma,points,dx,dt,tend,tsteps,Courant,Fourier_number,final_L2,final_Linf,final_periodic_error,final_amplitude,final_analytic_amplitude,amplitude_ratio_numeric_over_analytic,max_abs_phi_final,actual_final_time,unstable_time,observed_order,unstable_detected
CN-1 coupled baseline,Crank-Nicolson + CDS,1,0.1,161,0.0392699081698724,0.005,1,200,0.127323954473516,0.324227787655481,0.000258628724343806,0.000234681374959037,2.22044604925031e-16,0.904703136722004,0.90483741803596,0.999851596196976,0.904703136722005,1,NaN,NaN,0
CN-2 pure advection Courant 0.10,Crank-Nicolson + CDS,1,0,161,0.0392699081698724,0.00392699081698724,1.00138265833175,255,0.1,0,0.000257970856232714,0.000258593160237155,3.10862446895044e-15,0.999812285145101,1,0.999812285145101,0.999812285145101,1.00138265833175,NaN,NaN,0
CN-2 pure advection Courant 0.50,Crank-Nicolson + CDS,1,0,161,0.0392699081698724,0.0196349540849362,1.00138265833175,51,0.5,0,0.000288750258536613,0.000289446873629955,5.55111512312578e-16,0.999812882574864,1,0.999812882574864,0.999812882574865,1.00138265833175,NaN,NaN,0
CN-2 pure advection Courant 1.00,Crank-Nicolson + CDS,1,0,161,0.0392699081698724,0.0392699081698724,0.98174770424681,25,1,0,0.000377450917204472,0.000378348736513943,4.44089209850063e-16,0.999999928426115,1,0.999999928426115,0.999999928426115,0.98174770424681,NaN,NaN,0
CN-3 pure diffusion,Crank-Nicolson + CDS,0,0.1,161,0.0392699081698724,0.005,1,200,0,0.324227787655481,1.28483868684754e-05,1.16257012000576e-05,0,0.90484904373716,0.90483741803596,1.00001284838687,0.90484904373716,1,NaN,NaN,0
